分區,標題,斷層分類：,通過縣市：,未來50年規模6.5以上發生機率大於10%的斷層構造
北部,山腳斷層,第二類活動斷層,台北縣,大甲斷層
北部,湖口斷層,第二類活動斷層,桃園縣、新竹縣,彰化斷層
北部,新竹斷層,存疑性活動斷層,新竹市、新竹縣,車籠埔斷層
北部,新城斷層,第二類活動斷層,新竹縣、苗栗縣,九芎坑斷層
北部,獅潭斷層,第一類活動斷層,苗栗縣,木屐寮斷層
中部,三義斷層,第二類活動斷層,苗栗縣、台中縣,六甲斷層
中部,大甲斷層,第二類活動斷層,台中縣,觸口斷層
中部,鐵砧山斷層,第二類活動斷層,台中縣,新化斷層
中部,屯子腳斷層,第一類活動斷層,台中縣,旗山斷層
中部,彰化斷層,存疑性活動斷層,彰化縣,恆春斷層
中部,車籠埔斷層,第一類活動斷層,台中縣、台中市、南投縣,米崙斷層
中部,大茅埔－雙冬斷層,存疑性活動斷層,台中縣、南投縣,嶺頂斷層
中部,九芎坑斷層,存疑性活動斷層,雲林縣、嘉義縣,瑞穗斷層
西南部,梅山斷層,第一類活動斷層,嘉義縣,玉里斷層
西南部,大尖山斷層,第一類活動斷層,南投縣、雲林縣、嘉義縣,池上斷層
西南部,木屐寮斷層,存疑性活動斷層,台南縣,鹿野斷層
西南部,六甲斷層,存疑性活動斷層,台南縣,利吉斷層
