,日期時間,分類,標題
0,['2022-08-01'],徵人資訊,2022-08-01【徵人】國立臺灣師範大學地理學系徵聘教師公告
1,['2022-10-26'],最新消息,2022-10-25【學位考試】預計111-1畢業的研究生請提出申請(111/11/25前)
2,['2022-10-26'],徵人資訊,2022-10-26【轉知】財政部中區國稅局111年度儲備約僱人員甄選
3,['2022-10-26'],徵人資訊,2022-10-26【轉知】臺灣菸酒股份有限公司111年從業職員及從業評價職位人員甄試
4,['2022-10-25'],最新消息,2022-10-25【碩博】111畢業論文封面顏色票選
5,['2022-10-25'],最新消息,2022-10-25【課程】111-2週末在職專班 上課課表（111/10/25）
6,['2022-10-25'],實習機會,2022-10-25【實習】111年環境.區域.空間學程實習成果發表會（111/10/31）
7,['2022-10-24'],榮譽榜,2022-10-24【榮譽榜】本系70級林惠娟系友(亦是本系退休副教授)手抄筆記獲台圖典藏
8,['2022-10-21'],實習機會,2022-10-21【實習】林業試驗所112年寒假實習報名（111/11/04校內截止）
9,['2022-10-21'],最新消息,2022-10-21【轉知】「2022學系創意影片競賽」報名（111/11/09截止）
10,['2022-10-20'],雙語計畫,2022-10-20【EMI】文學院EMI計畫- 全民外交研習營 CLA EMI program – International Diplomacy Camp
11,['2022-10-20'],獎助學金,2022-10-20【助學金】111-1還願助學金
12,['2022-10-20'],最新消息,2022-10-20【課程】111-2日間學制 上課課表暨選課資訊（111/10/24）
13,['2022-10-20'],獎助學金,2022-10-20【獎助學金-校外】斯洛伐克國家獎學金計畫 (National Scholarship Programme of the Slovak Republic)
14,['2022-10-19'],最新消息,2022-10-19【系友會活動】系友會地理實察活動~草漯沙丘地質公園深度旅遊
15,['2022-10-18'],最新消息,2022-10-18【師培】111特殊績優師資生甄審報名(111.11.07系截止)
16,['2022-10-18'],最新消息,2022-10-18【轉知】學生實習故事大賞競賽」票選活動開始（111/10/31 10:00止）
17,['2022-10-14'],獎助學金,2022-10-14【獎學金】111-1地理系特色發展獎助學金-學習活動補助申請(系期限至11/15前)
18,['2022-10-13'],獎助學金,2022-10-13【獎助學金-校外】中華民國戶外遊憩學會 111年度優秀碩士論文獎
19,['2022-10-12'],最新消息,2022-10-12【轉知】體驗活動(二)：宜蘭縣大湖底休閒農業區  2022/10/16(日)
20,['2022-10-12'],最新消息,2022-10-12【轉知】體驗活動(一)：宜蘭縣天送埤休閒農業區  2022/10/15(六)
21,['2022-10-07'],最新消息,2022-10-07【轉知】112 年公務人員初等考試報名訊息
22,['2022-10-07'],獎助學金,2022-10-07【獎助學金-校外】台灣發明商品促進協會~謝新民獎學金提供俄羅斯莫斯科阿基米德國際發明展補助專案
23,['2022-10-07'],獎助學金,2022-10-07【獎學金-校外】112年教育部與世界百大合作設置獎學金相關
24,['2022-10-06'],獎助學金,2022-10-06【獎學金】科技與工程學院燦坤清寒獎助學金
